Hostname,Reverse Hostname,gWMS GRAM,gWMS HTC,BDII GRAM,BDII HTC,CE-Collector,Gratia,Assigned to Contact,Notes from Contact
hammer-osg.rcac.purdue.edu,edu.purdue.rcac.hammer-osg,,2016-04-10,,2016-03-10,2016-03-09,,,
bonner06.rice.edu,edu.rice.bonner06,,,,2016-03-10,2016-03-09,,,
its-condor-ce.syr.edu,edu.syr.its-condor-ce,,2016-04-10,,,2016-03-09,,,
ce01.brazos.tamu.edu,edu.tamu.brazos.ce01,,2016-04-10,,2016-03-10,2016-03-09,,,
calclab-ce.math.tamu.edu,edu.tamu.math.calclab-ce,,,,2016-03-10,2016-03-09,,,
cms25.physics.ucsb.edu,edu.ucsb.physics.cms25,,2016-04-10,,2016-03-10,2015-11-04,,,
osg-gw-2.t2.ucsd.edu,edu.ucsd.t2.osg-gw-2,,2016-04-10,,2016-03-10,2016-03-09,,,
osg-gw-4.t2.ucsd.edu,edu.ucsd.t2.osg-gw-4,,2016-04-10,,,,,,
osg-gw-6.t2.ucsd.edu,edu.ucsd.t2.osg-gw-6,,2016-04-10,,2016-03-10,2016-03-09,,,
gate02.grid.umich.edu,edu.umich.grid.gate02,,2016-04-10,,2016-03-10,2016-03-09,,,
crane-gw1.unl.edu,edu.unl.crane-gw1,,2016-04-10,,,2016-03-09,,,
red.unl.edu,edu.unl.red,,2016-04-10,,2016-03-10,2016-03-09,,,
red-gw1.unl.edu,edu.unl.red-gw1,,2016-04-10,,2016-03-10,2016-03-09,,,
red-gw2.unl.edu,edu.unl.red-gw2,,2016-04-10,,2016-03-10,2016-03-09,,,
sandhills-ce1.unl.edu,edu.unl.sandhills-ce1,,2016-04-10,,,2016-03-09,,,
tusker-gw1.unl.edu,edu.unl.tusker-gw1,,2016-04-10,,,2016-03-09,,,
cms-grid0.hep.uprm.edu,edu.uprm.hep.cms-grid0,,2016-04-10,,2016-03-10,2016-03-09,,,
stampede.tacc.utexas.edu,edu.utexas.tacc.stampede,,2015-12-08,,,,,,
globus1.hyak.washington.edu,edu.washington.hyak.globus1,,2016-04-10,,,2016-03-09,,,
itb-ce1.chtc.wisc.edu,edu.wisc.chtc.itb-ce1,,,,2016-03-10,,,,
cmsgrid01.hep.wisc.edu,edu.wisc.hep.cmsgrid01,,2016-04-10,,2015-11-20,2016-03-09,,,
